tweet,date,city,user_location,place,coordinates,id,link
No paren de contar porque Donald Trump podría ser reelegido presidente.,2020-11-10 19:40:43,Bogota,worldwide,"Place(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326248440637104128,https://twitter.com/i/web/status/1326248440637104128
"Senadora @MariaFdaCabal le propongo que si gana la Presidencia Donald Trump todos los uribistas que lo  apoyamos nos reunamos, para celebrar y analizar todo lo que está pasando en EE. UU. y en Colombia. Debemos prepararnos para el 2022.",2020-11-10 19:24:01,Bogota,Bogota,,,1326244236354875400,https://twitter.com/i/web/status/1326244236354875400
"@elprobabilista @Raforismos ""Donald Trump prestaba poca atención a las reuniones con Inteligencia y realmente nunca entendió como funcionaba en realidad la seguridad nacional"".",2020-11-10 19:21:58,Bogota,Bogotá,,,1326243724402290689,https://twitter.com/i/web/status/1326243724402290689
"@deisy1376 Como raro el anuncio 5 días después de elecciones, con lo cual Joe Biden se montó en el caballo que ensilló Donald Trump.",2020-11-10 19:19:49,Bogota,worldwide,"Place(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326243182233985026,https://twitter.com/i/web/status/1326243182233985026
"La política exterior colombiana ha dependido desde hace décadas de su relación con Estados Unidos y, aún así, @IvanDuque fue capaz de dañarla por sus afectos a Donald Trump. No tiene nombre.",2020-11-10 19:17:16,Bogota,"Bogotá, Colombia","Place(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326242541067440129,https://twitter.com/i/web/status/1326242541067440129
"El cálculo político de Donald Trump de apostar por la acusación de fraude electoral, es abrir una batalla legal que empañe la elección en Estados Unidos, cuestionar el sistema político del país y  desacreditar la legitimidad de Joe Biden.
https://t.co/eF0qkHVhHC",2020-11-10 19:00:00,Bogota,Ibague - Colombia,,,1326238196313755652,https://twitter.com/i/web/status/1326238196313755652
Donald Trump aseguró que la semana que viene comenzarán a llegar resultados de las elecciones e insistió: “¡Vamos a ganar!” - Infobae https://t.co/vON2EipQUH,2020-11-10 18:53:05,Bogota,bogota,"Place(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326236454541025280,https://twitter.com/i/web/status/1326236454541025280
"Después de fallecer, George Bush, Barack Obama y Donald Trump son recibidos por Dios.
Dios le pregunta a Bush: ""¿En qué crees?""
Bush responde: ""¡Creo en el libre mercado y en la fuerte nación estadounidense capaz de un equilibrio mundial""",2020-11-10 18:48:34,Bogota,Bélgica,,,1326235317163188225,https://twitter.com/i/web/status/1326235317163188225
"Donald Trump: fraude, noticias falsas y sus últimos días en la Casa Blanca
https://t.co/R2TkphWgiS",2020-11-10 18:36:46,Bogota,"Bogotá, Colombia",,,1326232347977637891,https://twitter.com/i/web/status/1326232347977637891
"#Internacional El presidente estadounidense Donald Trump anunció ayer vía Twitter haber terminado la gestión de Mark Esper como Secretario de Defensa de su administración. Según el New York Times, la decisión se esperaba desde el pasado mes de junio. https://t.co/koQf5zfkof",2020-11-10 18:30:00,Bogota,Bogotá- Colombia,,,1326230645597745153,https://twitter.com/i/web/status/1326230645597745153
